session_date,session_high,session_low,poc,vah,val,total_volume,prior_rth_vah,prior_rth_val,prior_rth_poc,prior_rth_high,prior_rth_low,overnight_vah,overnight_val,overnight_poc,overnight_high,overnight_low,ibh,ibl,ib_range,rth_open,rth_close,rth_high,rth_low,normalized_volume,prior_vah,prior_val,prior_poc,prior_high,prior_low,prior_normalized_volume
2025-06-13,21855.75,21601.25,21655.25,21781.75,21613.5,782705,21948.5,21911.25,21940.25,21977.5,21881.75,,,,,,21807.5,21621.25,186.25,21627.25,21654.0,21855.75,21601.25,0.6075624278371156,21977.5,21646.5,21940.25,21977.5,21470.5,1.1557825235750117
2025-06-15,21976.25,21505.0,21685.5,21855.25,21593.75,248916,21781.75,21613.5,21655.25,21855.75,21601.25,21855.25,21593.75,21685.5,21976.25,21505.0,,,,,,,,0.19321712431567892,21781.75,21613.5,21655.25,21855.75,21601.25,0.6075624278371156
2025-06-16,22133.75,21910.5,22048.75,22133.75,21976.0,489450,,,,,,22091.75,22030.25,22048.75,22133.75,21995.75,21996.5,21947.0,49.5,21973.25,21935.5,21996.5,21910.5,0.3799278531565229,21855.25,21593.75,21685.5,21976.25,21505.0,0.19321712431567892
2025-06-17,22136.5,21862.75,21961.25,22060.5,21928.25,1166168,21967.5,21928.5,21943.25,21996.5,21910.5,22034.25,21955.0,22006.0,22081.75,21862.75,22136.5,22067.25,69.25,22102.5,21953.25,22136.5,21908.0,0.9052195416484543,22133.75,21976.0,22048.75,22133.75,21910.5,0.3799278531565229
2025-06-18,22098.75,21650.25,22050.0,22096.25,21896.75,1095146,22088.0,21911.25,21961.25,22136.5,21908.0,21905.5,21739.25,21848.5,21971.25,21650.25,22098.75,22041.25,57.5,22073.0,21961.25,22098.75,21883.0,0.8500898328183745,22060.5,21928.25,21961.25,22136.5,21862.75,0.9052195416484543
2025-06-19,22130.75,21676.5,21901.5,22055.5,21828.0,821099,22065.5,21958.5,22050.0,22098.75,21883.0,22023.5,21828.0,21901.5,22130.75,21736.0,21741.0,21677.5,63.5,21717.5,21704.25,21742.0,21676.5,0.6373651655919251,22096.25,21896.75,22050.0,22098.75,21650.25,0.8500898328183745
2025-06-20,21967.0,21760.0,21857.75,21898.0,21813.5,868201,22065.5,21958.5,22050.0,22098.75,21883.0,,,,,,21967.0,21775.75,191.25,21936.25,21877.5,21967.0,21760.0,0.6739273511867327,22055.5,21828.0,21901.5,22130.75,21676.5,0.6373651655919251
2025-06-22,22011.75,21562.0,21871.25,21934.25,21744.75,679158,21898.0,21813.5,21857.75,21967.0,21760.0,21934.25,21744.75,21871.25,22011.75,21562.0,,,,,,,,0.527185700059409,21898.0,21813.5,21857.75,21967.0,21760.0,0.6739273511867327
2025-06-23,22383.25,21738.5,22301.5,22383.25,21975.25,1541196,,,,,,22337.25,22245.25,22301.5,22383.25,22064.5,22018.0,21944.75,73.25,21984.75,22072.0,22093.0,21738.5,1.196329119569763,21934.25,21744.75,21871.25,22011.75,21562.0,0.527185700059409
2025-06-24,22548.25,22300.0,22421.75,22473.75,22305.0,952010,22093.0,21910.75,22047.0,22093.0,21738.5,22548.25,22442.0,22490.75,22548.25,22385.0,22373.5,22300.0,73.5,22308.0,22409.5,22447.75,22300.0,0.7389827673583438,22383.25,21975.25,22301.5,22383.25,21738.5,1.196329119569763
